phase,model_name,fp32_epochs,fp32_avg_epoch_time_s,fp32_total_time_s,qat_epochs,qat_avg_epoch_time_s,qat_total_time_s,total_time_s
Phase 2 - AlexNet Variants,alexnet_stacked,83,59.07068986203297,4902.867258548737,9,83.9627930853102,755.6651377677917,5658.532396316528
Phase 1 - Baselines,alexnet_tv,85,49.135404143613925,4176.509352207184,8,52.31116473674774,418.48931789398193,4594.998670101166
Phase 2 - AlexNet Variants,alexnet_3x3,38,48.390741661975255,1838.8481831550598,16,60.07558023929596,961.2092838287354,2800.057466983795
Phase 1 - Baselines,vgg_style,68,29.553125206161948,2009.6125140190125,12,42.584950824578605,511.01940989494324,2520.6319239139557
Phase 3 - Compensation,alexnet_fire,47,31.7902446807699,1494.1414999961853,14,65.2147810629436,913.0069348812103,2407.1484348773956
Phase 3 - Compensation,alexnet_residual,68,9.39022035107893,638.5349838733673,18,97.25602140691545,1750.6083853244781,2389.1433691978455
Phase 2 - AlexNet Variants,alexnet_tv,19,48.70356524618048,925.3677396774292,20,52.252908766269684,1045.0581753253937,1970.4259150028229
Phase 2 - AlexNet Variants,alexnet_small_kernel,63,23.791525678029135,1498.8661177158356,10,47.05920693874359,470.5920693874359,1969.4581871032715
Phase 4 - Final Architecture,alexnet_final_fire_residual,77,22.45602111382918,1729.1136257648468,9,24.381169266170925,219.43052339553833,1948.5441491603851
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,76,21.587516976030248,1640.651290178299,9,21.743105120129055,195.6879460811615,1836.3392362594604
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,38,24.589652707702236,934.4068028926849,15,37.48065574963888,562.2098362445831,1496.616639137268
Phase 2 - AlexNet Variants,alexnet_mixed,46,20.980059193528216,965.082722902298,20,21.918266427516937,438.36532855033875,1403.4480514526367
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,40,20.920172262191773,836.8068904876709,19,29.611531019210815,562.6190893650055,1399.4259798526764
Phase 3 - Compensation,alexnet_gap,39,23.099837015836666,900.89364361763,12,24.789831777413685,297.47798132896423,1198.3716249465942
Phase 1 - Baselines,mobilenetv2,33,32.96490880214807,1087.8419904708862,0,,,1087.8419904708862
Phase 3 - Compensation,alexnet_factorized,68,0.9110233082490808,61.9495849609375,11,92.65177353945646,1019.169508934021,1081.1190938949585
Phase 2 - AlexNet Variants,alexnet_2x2,33,21.00602194034692,693.1987240314484,17,21.05155933604521,357.87650871276855,1051.075232744217
Phase 3 - Compensation,alexnet_groupconv,93,0.5041033811466669,46.881614446640015,10,58.64458553791046,586.4458553791046,633.3274698257446
Phase 1 - Baselines,resnet18_tv,21,28.494585196177166,598.3862891197205,0,,,598.3862891197205
Phase 3 - Compensation,alexnet_bottleneck,78,0.35647433537703294,27.80499815940857,10,29.97196798324585,299.7196798324585,327.52467799186707
Phase 3 - Compensation,alexnet_depthwisesep,97,0.29516695946762245,28.631195068359375,12,23.904525339603424,286.8543040752411,315.48549914360046
Phase 3 - Compensation,alexnet_se,6,49.64741321404775,297.8844792842865,0,,,297.8844792842865
