run_dir,model,stage,pretrained,git_hash,post_fix,status,best_val_mAP,best_val_mAP50,best_epoch,total_time_s,params_m,macs,model_size_mb,true_size_mb,latency_ms_per_image
ssd_alexnet_bottleneck_fp32_phase7_detection,alexnet_bottleneck,fp32,False,baa3528eb2799b9aa61a0cbfb918a6eed1f7f758,True,complete,0.2098385840654373,0.4745785892009735,549.0,107015.73214960098,1.532362,4465786880.0,5.964868545532227,5.757146835327148,8.025433192065416
ssd_alexnet_bottleneck_fp32_pretrained_phase7_detection,alexnet_bottleneck,fp32,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.2082653641700744,0.483413964509964,709.0,201785.0046069622,1.532362,4465786880.0,5.966901779174805,5.757146835327148,7.24332738452806
ssd_alexnet_bottleneck_int8_phase7_detection,alexnet_bottleneck,int8,False,9476ae089cd9b547b3796198d0a55ee941b1afeb,True,complete,0.2084744274616241,0.4783490002155304,,,1.532362,,3.347330093383789,3.1411304473876958,
ssd_alexnet_bottleneck_int8_pretrained_phase7_detection,alexnet_bottleneck,int8,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.1978993117809295,0.4670395255088806,,,1.532362,,3.34963607788086,3.1411304473876958,
ssd_alexnet_bottleneck_qat_phase7_detection,alexnet_bottleneck,qat,False,9476ae089cd9b547b3796198d0a55ee941b1afeb,True,complete,0.2100370526313781,0.477330595254898,98.0,85780.21513175964,1.532362,4465786880.0,6.158989906311035,5.935832977294922,8.025387469679117
ssd_alexnet_bottleneck_qat_pretrained_phase7_detection,alexnet_bottleneck,qat,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.2014501839876175,0.4717055857181549,24.0,65899.85347795486,1.532362,4465786880.0,6.164180755615234,5.935832977294922,17.145326863974333
ssd_alexnet_fire_fp32_phase7_detection,alexnet_fire,fp32,False,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.0893717855215072,0.2927446663379669,772.0,246838.6032652855,1.663514,19119341568.0,6.46251106262207,6.256597518920898,10.781682409847583
ssd_alexnet_fire_fp32_pretrained_phase7_detection,alexnet_fire,fp32,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.0893456116318702,0.2916685342788696,596.0,318138.56483721733,1.663514,19119341568.0,6.464544296264648,6.256597518920898,14.14570794440806
ssd_alexnet_fire_int8_phase7_detection,alexnet_fire,int8,False,159e1e2ab61fa0c431dfa3bb7b05431c324bfeea,True,complete,0.0640205517411232,0.2248434573411941,,,1.663514,,3.4664669036865234,,
ssd_alexnet_fire_int8_pretrained_phase7_detection,alexnet_fire,int8,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.0754183828830719,0.2594209313392639,,,1.663514,,3.468833923339844,,
ssd_alexnet_fire_qat_phase7_detection,alexnet_fire,qat,False,8b55e41c01c41ef7d2b1ea5152c31c1d97b72e2c,True,complete,0.0637613609433174,0.2225702106952667,97.0,51747.85496616364,1.663514,19119341568.0,6.650515556335449,,11.749843996949494
ssd_alexnet_fire_qat_pretrained_phase7_detection,alexnet_fire,qat,True,ee6438bf33d637832f3c2b0837bfb75417d374ed,True,complete,0.0778745338320732,0.2619766891002655,62.0,55138.546662807465,1.663514,19119341568.0,6.655706405639648,,15.96795368939638
ssd_alexnet_tv_fp32_phase7_detection,alexnet_tv,fp32,False,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,True,complete,0.1694234311580658,0.3766725063323974,927.0,414073.9645013809,58.551722,1835279040.0,223.42327308654785,4.096242904663086,17.223595120203054
ssd_alexnet_tv_fp32_pretrained_phase7_detection,alexnet_tv,fp32,True,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,True,complete,0.1809913963079452,0.3982733786106109,791.0,450336.3196413517,58.551722,1835279040.0,223.4244480133057,4.096242904663086,10.233464409024098
ssd_alexnet_tv_int8_phase7_detection,alexnet_tv,int8,False,9476ae089cd9b547b3796198d0a55ee941b1afeb,True,complete,0.1450150907039642,0.3308620154857635,,,58.551722,,221.54424476623532,2.2175731658935547,
ssd_alexnet_tv_int8_pretrained_phase7_detection,alexnet_tv,int8,True,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,True,complete,0.1695815622806549,0.3782245218753814,,,,,,2.2175731658935547,
ssd_alexnet_tv_qat_phase7_detection,alexnet_tv,qat,False,159e1e2ab61fa0c431dfa3bb7b05431c324bfeea,True,complete,0.1473211050033569,0.3340478837490082,39.0,46450.07612705231,58.551722,1835279040.0,223.5057249069214,4.173465728759766,6.689571836031973
ssd_alexnet_tv_qat_pretrained_phase7_detection,alexnet_tv,qat,True,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,True,complete,0.1723764836788177,0.3820560574531555,93.0,43541.96270489693,58.551722,1835279040.0,223.50814819335935,4.173465728759766,9.627961367368698
